0	0	200	400	600	800	1000	1200	1400	1600	1800	2000	2200	2400	2600	2800	3000	3100	3250	3400	3600	3800	4000	4200	4400	4600	4800
0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
10	24.406250	21.093750	18.000000	16.593750	15.203125	14.906250	14.093750	13.796875	13.796875	13.796875	13.796875	13.500000	13.500000	13.500000	13.500000	13.500000	13.500000	13.500000	13.500000	13.203125	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
20	33.500000	29.500000	27.000000	25.906250	24.203125	22.796875	22.203125	21.093750	20.500000	20.203125	20.000000	20.000000	20.000000	19.703125	19.703125	19.703125	19.703125	19.703125	19.703125	19.093750	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
30	44.000000	40.000000	37.093750	35.296875	34.593750	33.500000	33.203125	32.500000	32.000000	31.406250	31.093750	30.703125	30.000000	30.000000	30.406250	30.406250	30.000000	29.593750	29.593750	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
40	52.000000	48.406250	45.906250	44.500000	44.000000	43.796875	43.406250	42.406250	42.000000	41.593750	41.296875	40.906250	40.906250	40.906250	41.296875	41.296875	41.296875	41.296875	41.296875	40.906250	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
50	60.000000	56.796875	53.750000	52.000000	50.500000	53.796875	55.796875	54.203125	52.796875	52.000000	51.203125	50.796875	50.500000	50.093750	49.296875	48.796875	48.906250	48.906250	48.906250	48.906250	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
60	85.000000	85.000000	60.000000	60.000000	50.500000	60.671875	64.703125	71.500000	68.000000	65.000000	62.593750	61.203125	60.203125	59.796875	58.703125	58.296875	57.703125	57.703125	57.703125	57.703125	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
70	85.000000	85.000000	60.000000	60.000000	50.500000	60.671875	65.000000	71.500000	76.406250	77.296875	75.500000	73.406250	71.703125	70.203125	68.703125	67.500000	66.000000	66.000000	66.000000	66.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
80	85.000000	85.000000	60.000000	60.000000	50.500000	60.671875	71.875000	78.000000	81.593750	82.500000	83.500000	86.000000	87.500000	82.000000	80.000000	75.000000	73.796875	73.796875	73.796875	73.796875	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
90	85.000000	85.000000	60.000000	60.000000	50.500000	60.671875	71.875000	78.000000	90.000000	88.000000	88.000000	88.000000	87.500000	89.703125	92.000000	94.000000	89.000000	86.000000	86.000000	86.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
100	85.000000	85.000000	60.000000	60.000000	50.500000	60.671875	71.875000	78.000000	90.000000	88.000000	88.000000	88.000000	87.500000	89.703125	92.000000	94.000000	89.000000	86.000000	86.000000	86.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
